,latitude,longitude,place name,state,state abbreviation,post code
0,40.9422,-99.374,Miller,Nebraska,NE,68858
1,43.1793,-85.2497,Greenville,Michigan,MI,48838
2,28.0284,-82.7794,Dunedin,Florida,FL,34698
3,32.6106,-86.7163,Billingsley,Alabama,AL,36006
4,40.8935,-77.4733,Millheim,Pennsylvania,PA,16854
5,41.2955,-96.1008,Omaha,Nebraska,NE,68164
6,33.357,-89.0473,Sturgis,Mississippi,MS,39769
7,61.529,-165.5905,Chevak,Alaska,AK,99563
8,44.3738,-68.2448,Bar Harbor,Maine,ME,04609
9,37.3074,-84.8124,Yosemite,Kentucky,KY,42566
10,44.048,-103.1763,Rapid City,South Dakota,SD,57703
11,36.7659,-92.9151,Bradleyville,Missouri,MO,65614
12,40.8437,-93.3622,Millerton,Iowa,IA,50165
13,36.5045,-105.6292,Carson,New Mexico,NM,87517
14,31.4639,-103.3971,Barstow,Texas,TX,79719
15,41.7335,-80.7562,Jefferson,Ohio,OH,44047
16,40.8011,-75.6614,Bowmanstown,Pennsylvania,PA,18030
17,35.2886,-80.8209,Charlotte,North Carolina,NC,28269
18,35.6895,-81.5387,Connellys Springs,North Carolina,NC,28612
19,39.9531,-84.3242,West Milton,Ohio,OH,45383
20,41.6583,-72.6632,Rocky Hill,Connecticut,CT,06067
21,41.7741,-88.4397,Sugar Grove,Illinois,IL,60554
22,29.8941,-95.6481,Houston,Texas,TX,77095
23,39.0305,-76.5515,Annapolis,Maryland,MD,21405
24,36.9294,-121.7727,Watsonville,California,CA,95076
25,37.4067,-87.5639,Manitou,Kentucky,KY,42436
26,44.8532,-74.4191,North Bangor,New York,NY,12966
27,41.616,-74.1439,Wallkill,New York,NY,12589
28,40.7968,-80.4556,Darlington,Pennsylvania,PA,16115
29,45.5287,-122.6363,Portland,Oregon,OR,97232
30,26.9905,-82.0964,Port Charlotte,Florida,FL,33952
31,40.2952,-84.0323,Pemberton,Ohio,OH,45353
32,46.7046,-101.5221,Almont,North Dakota,ND,58520
33,48.7306,-116.3322,Bonners Ferry,Idaho,ID,83805
34,38.1109,-80.2641,Hillsboro,West Virginia,WV,24946
35,53.8871,-166.5199,Unalaska,Alaska,AK,99685
36,38.0841,-102.6192,Lamar,Colorado,CO,81052
37,42.6809,-70.8494,Ipswich,Massachusetts,MA,01938
38,36.435,-93.7673,Eureka Springs,Arkansas,AR,72631
39,41.5309,-74.8516,Highland Lake,New York,NY,12743
40,42.3465,-86.0725,Breedsville,Michigan,MI,49027
41,40.3299,-77.1809,Shermans Dale,Pennsylvania,PA,17090
42,40.6342,-93.448,Clio,Iowa,IA,50052
43,39.3688,-89.6545,Waggoner,Illinois,IL,62572
44,44.516,-70.2099,Jay,Maine,ME,04239
45,33.1836,-81.164,Olar,South Carolina,SC,29843
46,36.5792,-93.1263,Kirbyville,Missouri,MO,65679
47,36.1847,-115.1617,Las Vegas,Nevada,NV,89106
48,31.2243,-82.3596,Waycross,Georgia,GA,31501
49,37.593,-81.1872,Odd,West Virginia,WV,25902
50,39.8139,-83.1664,Harrisburg,Ohio,OH,43126
51,44.5955,-86.0961,Benzonia,Michigan,MI,49616
52,39.5936,-120.6269,Sierra City,California,CA,96125
53,32.4076,-86.2474,Montgomery,Alabama,AL,36115
54,39.5836,-80.7516,Reader,West Virginia,WV,26167
55,43.8149,-72.2662,Thetford Center,Vermont,VT,05075
56,39.5,-86.1797,Bargersville,Indiana,IN,46106
57,41.5094,-87.8248,Frankfort,Illinois,IL,60423
58,35.1285,-106.3617,Cedar Crest,New Mexico,NM,87008
59,38.7091,-98.1575,Kanopolis,Kansas,KS,67454
60,33.7408,-84.2632,Decatur,Georgia,GA,30032
61,41.0768,-73.4853,Darien,Connecticut,CT,06820
62,30.8707,-92.404,Turkey Creek,Louisiana,LA,70585
63,46.4778,-93.9789,Ironton,Minnesota,MN,56455
64,33.7377,-78.9787,Myrtle Beach,South Carolina,SC,29579
65,39.6156,-75.0409,Franklinville,New Jersey,NJ,08322
66,45.3465,-121.9151,Rhododendron,Oregon,OR,97049
67,36.8654,-83.2879,Ages Brookside,Kentucky,KY,40801
68,41.1676,-88.1845,Essex,Illinois,IL,60935
69,41.0942,-80.4685,Pulaski,Pennsylvania,PA,16143
70,42.1819,-85.4685,Scotts,Michigan,MI,49088
71,40.6272,-82.9925,Caledonia,Ohio,OH,43314
72,32.0167,-89.0584,Paulding,Mississippi,MS,39348
73,29.7767,-98.4626,Bulverde,Texas,TX,78163
74,38.5538,-121.7418,Davis,California,CA,95616
75,44.9689,-90.9389,Stanley,Wisconsin,WI,54768
76,39.4413,-84.3652,Monroe,Ohio,OH,45050
77,34.6616,-111.3404,Happy Jack,Arizona,AZ,86024
78,35.0836,-98.0792,Verden,Oklahoma,OK,73092
79,40.7696,-74.2077,East Orange,New Jersey,NJ,07017
80,42.1165,-72.1885,Brimfield,Massachusetts,MA,01010
81,38.6835,-89.9853,Collinsville,Illinois,IL,62234
82,32.2738,-106.7472,Las Cruces,New Mexico,NM,88003
83,47.0643,-68.2086,Stockholm,Maine,ME,04783
84,33.0478,-95.1962,Scroggins,Texas,TX,75480
85,33.4936,-111.9167,Scottsdale,Arizona,AZ,85251
86,28.1913,-82.756,Holiday,Florida,FL,34691
87,43.2636,-73.0766,Dorset,Vermont,VT,05251
88,42.202,-72.6262,Holyoke,Massachusetts,MA,01040
89,29.1135,-80.9765,Daytona Beach,Florida,FL,32127
90,33.5085,-112.0827,Phoenix,Arizona,AZ,85013
91,42.291,-121.5078,Dairy,Oregon,OR,97625
92,43.5946,-114.3226,Sun Valley,Idaho,ID,83354
93,34.5915,-98.3698,Lawton,Oklahoma,OK,73501
94,34.2651,-77.867,Wilmington,North Carolina,NC,28405
95,37.685,-92.655,Lebanon,Missouri,MO,65536
96,36.4695,-84.2907,Pioneer,Tennessee,TN,37847
97,26.5228,-81.7065,Fort Myers,Florida,FL,33913
98,42.4573,-91.5642,Masonville,Iowa,IA,50654
99,40.7294,-73.6828,New Hyde Park,New York,NY,11040
